city,access_segment,internet_users,share_pct,source,age_range,total_city_internet_users
SP,Mobile only,9800000,44,IBGE 2023 / ANATEL / GSMA 2024,10+,22500000
SP,Mobile + broadband,7650000,34,IBGE 2023 / ANATEL / GSMA 2024,10+,22500000
SP,Broadband only,3200000,14,IBGE 2023 / ANATEL / GSMA 2024,10+,22500000
SP,Other / shared,1850000,8,IBGE 2023 / ANATEL / GSMA 2024,10+,22500000
RJ,Mobile only,4750000,42,IBGE 2023 / ANATEL / GSMA 2024,10+,11200000
RJ,Mobile + broadband,3680000,33,IBGE 2023 / ANATEL / GSMA 2024,10+,11200000
RJ,Broadband only,1680000,15,IBGE 2023 / ANATEL / GSMA 2024,10+,11200000
RJ,Other / shared,1090000,10,IBGE 2023 / ANATEL / GSMA 2024,10+,11200000
